DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/01/2016,8:40,,,40.7479752,-73.7599787,"(40.7479752, -73.7599787)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3381731,OTHER,OTHER,,,
02/01/2016,8:40,BROOKLYN,11234,40.6341296,-73.9285006,"(40.6341296, -73.9285006)",KINGS HIGHWAY,UTICA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3381392,OTHER,UNKNOWN,,,
02/01/2016,8:40,BRONX,10461,40.8491845,-73.8538532,"(40.8491845, -73.8538532)",MORRIS PARK AVENUE,LURTING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3382064,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:40,BRONX,10461,40.8491845,-73.8538532,"(40.8491845, -73.8538532)",MORRIS PARK AVENUE,LURTING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381336,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:37,BRONX,10453,40.8519037,-73.9164465,"(40.8519037, -73.9164465)",MONTGOMERY AVENUE,WEST TREMONT AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3382032,SPORT UTILITY / STATION WAGON,BUS,,,
02/01/2016,8:35,BROOKLYN,11230,40.6295438,-73.9660811,"(40.6295438, -73.9660811)",CONEY ISLAND AVENUE,AVENUE H,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381457,VAN,PASSENGER VEHICLE,,,
02/01/2016,8:35,BROOKLYN,11221,40.6908834,-73.9125014,"(40.6908834, -73.9125014)",CENTRAL AVENUE,HANCOCK STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381536,OTHER,OTHER,,,
02/01/2016,8:31,BROOKLYN,11212,40.6719244,-73.9045161,"(40.6719244, -73.9045161)",GLENMORE AVENUE,POWELL STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381473,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:30,,,40.842052,-73.8379084,"(40.842052, -73.8379084)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381308,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,8:30,,,40.7690325,-73.8820192,"(40.7690325, -73.8820192)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381791,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,8:30,,,,,,,,E MOUNT EDEN SELWYN AVENUE,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3381294,BUS,PASSENGER VEHICLE,,,
02/01/2016,8:30,,,,,,JULES DRIVE,RICHMOND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381815,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,8:30,QUEENS,11429,40.7153986,-73.7430383,"(40.7153986, -73.7430383)",HEMPSTEAD AVENUE,98 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381629,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,8:30,QUEENS,11355,40.7590409,-73.8235566,"(40.7590409, -73.8235566)",BOWNE STREET,BARCLAY AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3381705,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,8:30,QUEENS,11354,40.7663085,-73.8196963,"(40.7663085, -73.8196963)",35 AVENUE,147 STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3382469,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:30,QUEENS,11101,40.7574856,-73.939085,"(40.7574856, -73.939085)",21 STREET,38 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3381782,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,8:30,MANHATTAN,10011,40.7397514,-74.0025224,"(40.7397514, -74.0025224)",WEST 14 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3381854,PASSENGER VEHICLE,BUS,,,
